                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.46531,                0.40538,                0.42974,                 0.9736,                0.92427,                0.20968,                0.19412,                0.18772,                0.92427,                0.20968,                0.19412,                0.18951,                    nan,                0.51823,                    nan,                    nan,              0.0011486,              0.0011486,              0.0011486
                     89,                  0.447,                0.37416,                0.43267,                 0.9766,                  0.924,                0.20968,                0.19452,                0.18253,                  0.924,                0.20968,                0.19452,                0.18865,                    nan,                0.40683,                    nan,                    nan,              0.0011387,              0.0011387,              0.0011387
                     90,                0.43896,                 0.3432,                0.41962,                0.96769,                0.91968,                0.20968,                0.19719,                0.19064,                0.91968,                0.20968,                0.19719,                 0.1932,                    nan,                0.39141,                    nan,                    nan,              0.0011288,              0.0011288,              0.0011288
                     91,                0.43736,                 0.3746,                0.42082,                0.98515,                0.92063,                0.20968,                0.20314,                0.19869,                0.92063,                0.20968,                0.20314,                 0.1998,                    nan,                0.45149,                    nan,                    nan,              0.0011189,              0.0011189,              0.0011189
                     92,                0.42253,                0.33824,                 0.3855,                0.97033,                 0.9243,                0.20968,                0.21149,                0.19496,                 0.9243,                0.20968,                0.21149,                0.20622,                    nan,                0.57035,                    nan,                    nan,               0.001109,               0.001109,               0.001109
                     93,                0.41503,                0.33357,                0.39713,                0.96788,                0.92423,                0.20968,                0.20198,                0.19426,                0.92423,                0.20968,                0.20198,                0.19728,                    nan,                0.58044,                    nan,                    nan,              0.0010991,              0.0010991,              0.0010991
                     94,                0.44149,                0.37098,                0.42101,                0.95017,                 0.9246,                0.20968,                0.19737,                0.19284,                 0.9246,                0.20968,                0.19737,                0.19737,                    nan,                 0.5439,                    nan,                    nan,              0.0010892,              0.0010892,              0.0010892
                     95,                0.42774,                 0.3525,                0.40224,                0.95318,                0.92446,                0.20968,                0.19707,                 0.1917,                0.92446,                0.20968,                0.19707,                0.19491,                    nan,                0.61102,                    nan,                    nan,              0.0010793,              0.0010793,              0.0010793
                     96,                0.45215,                0.37995,                0.43253,                0.98059,                 0.9245,                0.20968,                0.19838,                0.19381,                 0.9245,                0.20968,                0.19838,                0.19533,                    nan,                0.62464,                    nan,                    nan,              0.0010694,              0.0010694,              0.0010694
                     97,                0.42713,                0.37207,                0.40897,                0.97262,                0.92302,                0.20968,                0.19928,                0.19064,                0.92302,                0.20968,                0.19928,                0.19293,                    nan,                0.55552,                    nan,                    nan,              0.0010595,              0.0010595,              0.0010595
